ELU/SPPLEANT;Nom du candidat;Commune;Liste;Position dans la liste;Votes;Nombre de bulletins attribués aux candidats par dévolution à concurrence de ce qui est nécessaire pour atteindre le chiffre d'éligibilité.;Total des voix obtenues par les candidats après dévolution.;Total des bulletins restant à répartir par dévolution.;Désignation et classement des élus titulaires;Désignation et classement des élus suppléants
ELU;VAN LYSEBETTEN Nadine;ANDERLECHT;N-VA;1;700;806;1506;336;1;
ELU;LICHTERT Dirk;ANDERLECHT;N-VA;2;240;336;576;0;2;
SUPPLEANT;DE DEKEN Hugo;ANDERLECHT;N-VA;3;176;0;176;0;;1
SUPPLEANT;KESSEN Shanna;ANDERLECHT;N-VA;4;126;0;126;0;;5
SUPPLEANT;BRAECKMAN Anaïs;ANDERLECHT;N-VA;5;135;0;135;0;;3
SUPPLEANT;DE DEKEN Anne-Marie;ANDERLECHT;N-VA;6;132;0;132;0;;4
SUPPLEANT;VAN LYSEBETTEN Maurice;ANDERLECHT;N-VA;7;110;0;110;0;;8
SUPPLEANT;ROOSE Bruno;ANDERLECHT;N-VA;8;115;0;115;0;;6
SUPPLEANT;PENNINCKX Cynthia;ANDERLECHT;N-VA;9;114;0;114;0;;7
SUPPLEANT;VERMEULEN Judith;ANDERLECHT;N-VA;10;105;0;105;0;;9
SUPPLEANT;RINDIGNEZ Jozef;ANDERLECHT;N-VA;11;85;0;85;0;;13
SUPPLEANT;GOOSSENS Angèle;ANDERLECHT;N-VA;12;93;0;93;0;;12
SUPPLEANT;DE NEEF Achille;ANDERLECHT;N-VA;13;99;0;99;0;;11
SUPPLEANT;VEREST Juliana;ANDERLECHT;N-VA;14;100;0;100;0;;10
SUPPLEANT;DE SAEDELEER Jean-Pierre;ANDERLECHT;N-VA;15;142;0;142;0;;2
ELU;VAN GOIDSENHOVEN Gaëtan;ANDERLECHT;LB;1;5003;5869;10872;7669;1;
ELU;CASSART Monique;ANDERLECHT;LB;2;1786;7669;9455;0;2;
ELU;BOELPAEPE Jean-Jacques;ANDERLECHT;LB;3;903;0;903;0;5;
ELU;VANDENBOSSCHE Walter;ANDERLECHT;LB;4;1067;0;1067;0;3;
ELU;CARLIER Françoise;ANDERLECHT;LB;5;1045;0;1045;0;4;
ELU;DIELIS Christophe;ANDERLECHT;LB;6;829;0;829;0;6;
ELU;ADINE Kamal;ANDERLECHT;LB;7;401;0;401;0;14;
ELU;DUBRU Oscar;ANDERLECHT;LB;8;537;0;537;0;10;
SUPPLEANT;VANPEVENAGE Anne-Marie;ANDERLECHT;LB;9;393;0;393;0;;1
ELU;BRUSSEEL Ann;ANDERLECHT;LB;10;467;0;467;0;11;1
SUPPLEANT;MICHIELS Patricia;ANDERLECHT;LB;11;317;0;317;0;;2
SUPPLEANT;GARTI MOULKI Mohamed;ANDERLECHT;LB;12;176;0;176;0;;24
SUPPLEANT;BAJAT Myriam;ANDERLECHT;LB;13;333;0;333;0;;5
ELU;MERTENS Anne;ANDERLECHT;LB;14;574;0;574;0;9;5
SUPPLEANT;VAN HEE Stefaan;ANDERLECHT;LB;15;298;0;298;0;;12
ELU;BERTRAND Didier;ANDERLECHT;LB;16;426;0;426;0;12;12
ELU;PYPENS René;ANDERLECHT;LB;17;577;0;577;0;8;
ELU;ULUSOY Mustafa;ANDERLECHT;LB;18;422;0;422;0;13;
SUPPLEANT;SOUSSI R' BIHI Laeila;ANDERLECHT;LB;19;212;0;212;0;;21
SUPPLEANT;LONGIN Erik;ANDERLECHT;LB;20;370;0;370;0;;3
SUPPLEANT;T'SJOEN Jacqueline;ANDERLECHT;LB;21;202;0;202;0;;22
SUPPLEANT;TUZOLANA Albert;ANDERLECHT;LB;22;150;0;150;0;;27
SUPPLEANT;GRÉGOIRE Nicolas;ANDERLECHT;LB;23;193;0;193;0;;23
SUPPLEANT;SMEESTERS Joëlle;ANDERLECHT;LB;24;268;0;268;0;;14
SUPPLEANT;RAFAÊ M'RABET Farida;ANDERLECHT;LB;25;110;0;110;0;;31
SUPPLEANT;VAN DE ZANDSCHULP Jacob;ANDERLECHT;LB;26;156;0;156;0;;26
SUPPLEANT;BOUQUET Michaël;ANDERLECHT;LB;27;220;0;220;0;;20
SUPPLEANT;FIERIN Carine;ANDERLECHT;LB;28;237;0;237;0;;16
SUPPLEANT;DEDA Vera;ANDERLECHT;LB;29;136;0;136;0;;29
SUPPLEANT;HAESEBROUCK Damienne;ANDERLECHT;LB;30;225;0;225;0;;19
SUPPLEANT;ROY Léa Christine;ANDERLECHT;LB;31;270;0;270;0;;13
SUPPLEANT;MAHIEU Nathalie;ANDERLECHT;LB;32;346;0;346;0;;4
SUPPLEANT;POUPART Pascal;ANDERLECHT;LB;33;237;0;237;0;;17
SUPPLEANT;BAYET Marianne;ANDERLECHT;LB;34;299;0;299;0;;11
SUPPLEANT;TUSALAMO-BAYIZILA Mathieu;ANDERLECHT;LB;35;118;0;118;0;;30
SUPPLEANT;MATTHEUS Pieter-Jan;ANDERLECHT;LB;36;308;0;308;0;;9
SUPPLEANT;MOTTINT Yun Hee;ANDERLECHT;LB;37;331;0;331;0;;6
ELU;VANDYCK Achille-Junior;ANDERLECHT;LB;38;801;0;801;0;7;6
SUPPLEANT;ASIF Mohammad;ANDERLECHT;LB;39;108;0;108;0;;32
SUPPLEANT;VANDERMEULEN Adeline;ANDERLECHT;LB;40;232;0;232;0;;18
SUPPLEANT;PENNEWAERT Nada;ANDERLECHT;LB;41;139;0;139;0;;28
SUPPLEANT;FLINT-VANHIXE Nadia;ANDERLECHT;LB;42;246;0;246;0;;15
SUPPLEANT;CHRYSOSTOME Chantalia;ANDERLECHT;LB;43;82;0;82;0;;33
SUPPLEANT;RIGO Dalida;ANDERLECHT;LB;44;307;0;307;0;;10
SUPPLEANT;TAILDEMAN Laurent;ANDERLECHT;LB;45;166;0;166;0;;25
SUPPLEANT;RAVERT Daniel;ANDERLECHT;LB;46;312;0;312;0;;8
SUPPLEANT;VANDECASTEELE Guy;ANDERLECHT;LB;47;324;0;324;0;;7
ELU;DEPRÉ Danielle;ANDERLECHT;FDF;1;962;1663;2625;419;1;
ELU;KESTEMONT Alain;ANDERLECHT;FDF;2;359;419;778;0;2;
ELU;EMPAIN Patricia;ANDERLECHT;FDF;3;265;0;265;0;3;
SUPPLEANT;BENMRAH Halina;ANDERLECHT;FDF;4;195;0;195;0;;1
SUPPLEANT;MOINY-BISTER Anne;ANDERLECHT;FDF;5;116;0;116;0;;8
SUPPLEANT;MBAYA KADIA Dominique;ANDERLECHT;FDF;6;79;0;79;0;;16
SUPPLEANT;BRACKE Nathalie;ANDERLECHT;FDF;7;141;0;141;0;;4
SUPPLEANT;GARFUNKEL Daniel;ANDERLECHT;FDF;8;127;0;127;0;;6
SUPPLEANT;LOOP Emmanuel;ANDERLECHT;FDF;9;116;0;116;0;;9
SUPPLEANT;MARQUEGNIES Simon;ANDERLECHT;FDF;10;136;0;136;0;;5
SUPPLEANT;FOULON Marie;ANDERLECHT;FDF;11;186;0;186;0;;2
SUPPLEANT;VANDERTRAPPEN Jan;ANDERLECHT;FDF;12;81;0;81;0;;15
SUPPLEANT;BOULAHYA Sofyan;ANDERLECHT;FDF;13;64;0;64;0;;28
SUPPLEANT;PENNINCKX Michel;ANDERLECHT;FDF;14;85;0;85;0;;11
SUPPLEANT;GUERTI Magda;ANDERLECHT;FDF;15;57;0;57;0;;35
SUPPLEANT;SYMONS Jean-Luc;ANDERLECHT;FDF;16;95;0;95;0;;10
SUPPLEANT;TAMBOUR Claude;ANDERLECHT;FDF;17;84;0;84;0;;13
SUPPLEANT;GODFROID Léon;ANDERLECHT;FDF;18;55;0;55;0;;37
SUPPLEANT;VAN DEN MEERSCHE Luc;ANDERLECHT;FDF;19;84;0;84;0;;14
SUPPLEANT;RAFIQ Shazia;ANDERLECHT;FDF;20;74;0;74;0;;20
SUPPLEANT;BOUHON Gustave;ANDERLECHT;FDF;21;52;0;52;0;;38
SUPPLEANT;STURBOIS-RIZZO Alessandra;ANDERLECHT;FDF;22;61;0;61;0;;31
SUPPLEANT;LUXEN Jean-Claude;ANDERLECHT;FDF;23;74;0;74;0;;21
SUPPLEANT;SERNEELS Jacqueline;ANDERLECHT;FDF;24;75;0;75;0;;18
SUPPLEANT;ARSLAN Ahmet;ANDERLECHT;FDF;25;120;0;120;0;;7
SUPPLEANT;CANTINEAU Marie;ANDERLECHT;FDF;26;68;0;68;0;;24
SUPPLEANT;de VOS Hélène;ANDERLECHT;FDF;27;65;0;65;0;;27
SUPPLEANT;VERBRUGGEN Albert;ANDERLECHT;FDF;28;76;0;76;0;;17
SUPPLEANT;ABENA Edvige;ANDERLECHT;FDF;29;85;0;85;0;;12
SUPPLEANT;NIX Pascal;ANDERLECHT;FDF;30;47;0;47;0;;41
SUPPLEANT;WILCZEK Lucienne;ANDERLECHT;FDF;31;48;0;48;0;;40
SUPPLEANT;GENINAZZI Isabella;ANDERLECHT;FDF;32;61;0;61;0;;32
SUPPLEANT;HEYNEMAN Fabienne;ANDERLECHT;FDF;33;61;0;61;0;;33
SUPPLEANT;BRANCKAERT Thomas;ANDERLECHT;FDF;34;69;0;69;0;;23
SUPPLEANT;MASSAR Renée;ANDERLECHT;FDF;35;64;0;64;0;;29
SUPPLEANT;GÉRARD Marie-Thérèse;ANDERLECHT;FDF;36;63;0;63;0;;30
SUPPLEANT;MARLIÈRE Raymonde;ANDERLECHT;FDF;37;68;0;68;0;;25
SUPPLEANT;DEMEUR Flore;ANDERLECHT;FDF;38;68;0;68;0;;26
SUPPLEANT;MIANZUILA MAKUSA Joseph;ANDERLECHT;FDF;39;52;0;52;0;;39
SUPPLEANT;NATIS Magali;ANDERLECHT;FDF;40;60;0;60;0;;34
SUPPLEANT;VANWYMEERSCH Bernard;ANDERLECHT;FDF;41;43;0;43;0;;44
SUPPLEANT;VAN WIN Démétrie;ANDERLECHT;FDF;42;45;0;45;0;;43
SUPPLEANT;VEYT Jacques;ANDERLECHT;FDF;43;47;0;47;0;;42
SUPPLEANT;THIBAUT Germaine;ANDERLECHT;FDF;44;57;0;57;0;;36
SUPPLEANT;RANSY Claude;ANDERLECHT;FDF;45;75;0;75;0;;19
SUPPLEANT;DOSOGNE Eric;ANDERLECHT;FDF;46;71;0;71;0;;22
SUPPLEANT;RENIERS Pierre;ANDERLECHT;FDF;47;183;0;183;0;;3
ELU;DEBRY Philippe;ANDERLECHT;ECOLO-GROEN;1;1128;3087;4215;1281;1;
ELU;DEVLOO Ann-Kristien;ANDERLECHT;ECOLO-GROEN;2;433;1281;1714;0;2;
ELU;DROUART Jérémie;ANDERLECHT;ECOLO-GROEN;3;487;0;487;0;3;
ELU;MÜLLER-HÜBSCH Susanne;ANDERLECHT;ECOLO-GROEN;4;310;0;310;0;5;
SUPPLEANT;AYARI Aïcha;ANDERLECHT;ECOLO-GROEN;5;290;0;290;0;;1
SUPPLEANT;RYGAERT François;ANDERLECHT;ECOLO-GROEN;6;184;0;184;0;;2
SUPPLEANT;NEUZY Alan;ANDERLECHT;ECOLO-GROEN;7;219;0;219;0;;9
SUPPLEANT;WARNOTTE Sylvie;ANDERLECHT;ECOLO-GROEN;8;246;0;246;0;;6
SUPPLEANT;RIGGI Loredana;ANDERLECHT;ECOLO-GROEN;9;177;0;177;0;;12
SUPPLEANT;SMOUTER Kim;ANDERLECHT;ECOLO-GROEN;10;177;0;177;0;;13
SUPPLEANT;RANDISI Giuseppe;ANDERLECHT;ECOLO-GROEN;11;165;0;165;0;;15
SUPPLEANT;NOEL Christine;ANDERLECHT;ECOLO-GROEN;12;160;0;160;0;;18
SUPPLEANT;VAN LIERDE-VAN NUFFEL Julie;ANDERLECHT;ECOLO-GROEN;13;260;0;260;0;;4
SUPPLEANT;KACPRZYCKI Wojciech;ANDERLECHT;ECOLO-GROEN;14;221;0;221;0;;8
SUPPLEANT;MISHALLE Luc;ANDERLECHT;ECOLO-GROEN;15;123;0;123;0;;29
SUPPLEANT;LURQUIN Christine;ANDERLECHT;ECOLO-GROEN;16;150;0;150;0;;24
SUPPLEANT;VANDEN BOSCH Anne;ANDERLECHT;ECOLO-GROEN;17;248;0;248;0;;5
SUPPLEANT;TAHIRI Abdelhak;ANDERLECHT;ECOLO-GROEN;18;184;0;184;0;;11
SUPPLEANT;LUX Pierre-Yves;ANDERLECHT;ECOLO-GROEN;19;162;0;162;0;;17
SUPPLEANT;HIERGENS Karen;ANDERLECHT;ECOLO-GROEN;20;127;0;127;0;;27
SUPPLEANT;GUILLOT Coralie;ANDERLECHT;ECOLO-GROEN;21;119;0;119;0;;32
SUPPLEANT;VOGLAIRE Philippe;ANDERLECHT;ECOLO-GROEN;22;124;0;124;0;;28
ELU;VANWELDE Luc;ANDERLECHT;ECOLO-GROEN;23;334;0;334;0;4;28
SUPPLEANT;CEYSENS Marie;ANDERLECHT;ECOLO-GROEN;24;151;0;151;0;;23
SUPPLEANT;VAN DE VELDE Leen;ANDERLECHT;ECOLO-GROEN;25;155;0;155;0;;20
SUPPLEANT;DEVILERS Robert;ANDERLECHT;ECOLO-GROEN;26;87;0;87;0;;41
SUPPLEANT;COLARD Julien;ANDERLECHT;ECOLO-GROEN;27;157;0;157;0;;19
SUPPLEANT;HONOREZ Nicole;ANDERLECHT;ECOLO-GROEN;28;116;0;116;0;;34
SUPPLEANT;FRERET Fanny;ANDERLECHT;ECOLO-GROEN;29;111;0;111;0;;35
SUPPLEANT;BOONE Marc;ANDERLECHT;ECOLO-GROEN;30;101;0;101;0;;37
SUPPLEANT;DETAILLE Thierry;ANDERLECHT;ECOLO-GROEN;31;101;0;101;0;;38
SUPPLEANT;MARCHAL Christine;ANDERLECHT;ECOLO-GROEN;32;150;0;150;0;;25
SUPPLEANT;FIERENS Catherine;ANDERLECHT;ECOLO-GROEN;33;123;0;123;0;;30
SUPPLEANT;VERBRUGGEN Guy;ANDERLECHT;ECOLO-GROEN;34;119;0;119;0;;33
SUPPLEANT;DEMOL Pierre;ANDERLECHT;ECOLO-GROEN;35;123;0;123;0;;31
SUPPLEANT;LORANT Sarah;ANDERLECHT;ECOLO-GROEN;36;173;0;173;0;;14
SUPPLEANT;DE CONINCK Isabelle;ANDERLECHT;ECOLO-GROEN;37;152;0;152;0;;22
SUPPLEANT;LINARD Marc;ANDERLECHT;ECOLO-GROEN;38;164;0;164;0;;16
SUPPLEANT;VAN WASSENHOVEN Robert;ANDERLECHT;ECOLO-GROEN;39;66;0;66;0;;42
SUPPLEANT;LENAERTS Els;ANDERLECHT;ECOLO-GROEN;40;154;0;154;0;;21
SUPPLEANT;MNASRI Sonia;ANDERLECHT;ECOLO-GROEN;41;138;0;138;0;;26
SUPPLEANT;RANDISI Francesco;ANDERLECHT;ECOLO-GROEN;42;105;0;105;0;;36
SUPPLEANT;CASSIERS Bernard;ANDERLECHT;ECOLO-GROEN;43;91;0;91;0;;40
SUPPLEANT;MONZIBILA NYENYE Vanessa;ANDERLECHT;ECOLO-GROEN;44;100;0;100;0;;39
SUPPLEANT;LINARD Sarah;ANDERLECHT;ECOLO-GROEN;45;233;0;233;0;;7
SUPPLEANT;ELMANTI Mohamed;ANDERLECHT;ECOLO-GROEN;46;188;0;188;0;;10
SUPPLEANT;LAMBERTS Philippe;ANDERLECHT;ECOLO-GROEN;47;304;0;304;0;;3
ELU;BOGEMANS Louis;ANDERLECHT;VLAAMS BELANG;1;501;314;815;6;1;
SUPPLEANT;DE ROOVER Séra;ANDERLECHT;VLAAMS BELANG;2;105;6;111;0;;1
SUPPLEANT;BRACKE Frank;ANDERLECHT;VLAAMS BELANG;3;93;0;93;0;;7
SUPPLEANT;VAN DROOGENBROECK Maria;ANDERLECHT;VLAAMS BELANG;4;108;0;108;0;;4
SUPPLEANT;CNUDDE Roger;ANDERLECHT;VLAAMS BELANG;5;102;0;102;0;;5
SUPPLEANT;STAS Robert;ANDERLECHT;VLAAMS BELANG;6;73;0;73;0;;10
SUPPLEANT;VANDEVELDE Tony;ANDERLECHT;VLAAMS BELANG;7;101;0;101;0;;6
SUPPLEANT;SWIES Renata;ANDERLECHT;VLAAMS BELANG;8;66;0;66;0;;13
SUPPLEANT;VANDE WALLE Andrée;ANDERLECHT;VLAAMS BELANG;9;73;0;73;0;;11
SUPPLEANT;ASSYS Roland;ANDERLECHT;VLAAMS BELANG;10;62;0;62;0;;16
SUPPLEANT;DE BECKER Daniel;ANDERLECHT;VLAAMS BELANG;11;117;0;117;0;;2
SUPPLEANT;MISSAIR Madeleine;ANDERLECHT;VLAAMS BELANG;12;66;0;66;0;;14
SUPPLEANT;VAN SNICK Virginie;ANDERLECHT;VLAAMS BELANG;13;86;0;86;0;;8
SUPPLEANT;DOMAGALA Dorota;ANDERLECHT;VLAAMS BELANG;14;72;0;72;0;;12
SUPPLEANT;VANBELLINGHEN Christophe;ANDERLECHT;VLAAMS BELANG;15;85;0;85;0;;9
SUPPLEANT;SCHOTS Luc;ANDERLECHT;VLAAMS BELANG;16;56;0;56;0;;18
SUPPLEANT;VERCRAEYE Maria;ANDERLECHT;VLAAMS BELANG;17;65;0;65;0;;15
SUPPLEANT;GRIETEN Micheline;ANDERLECHT;VLAAMS BELANG;18;60;0;60;0;;17
SUPPLEANT;VANDERMASSEN Raymond;ANDERLECHT;VLAAMS BELANG;19;114;0;114;0;;3
ELU;TOMAS Eric;ANDERLECHT;PS-SP.A-CDH;1;4541;11098;15639;19804;1;
ELU;ROEX Elke;ANDERLECHT;PS-SP.A-CDH;2;1008;14631;15639;5173;2;
ELU;CUMPS Fabrice;ANDERLECHT;PS-SP.A-CDH;3;1122;5173;6295;0;3;
ELU;EL IKDIMI Fatiha;ANDERLECHT;PS-SP.A-CDH;4;1720;0;1720;0;5;
ELU;MIROIR Fabienne;ANDERLECHT;PS-SP.A-CDH;5;920;0;920;0;11;
ELU;EMMERY Isabelle;ANDERLECHT;PS-SP.A-CDH;6;998;0;998;0;9;
ELU;WILMART Guy;ANDERLECHT;PS-SP.A-CDH;7;881;0;881;0;12;
ELU;AKOUZ Mustapha;ANDERLECHT;PS-SP.A-CDH;8;1322;0;1322;0;6;
SUPPLEANT;DUROI Hilde;ANDERLECHT;PS-SP.A-CDH;9;353;0;353;0;;1
ELU;MIGISHA Pierre;ANDERLECHT;PS-SP.A-CDH;10;840;0;840;0;13;1
ELU;GÄBELE Laurent;ANDERLECHT;PS-SP.A-CDH;11;626;0;626;0;18;
SUPPLEANT;TAYENNE Brigitte;ANDERLECHT;PS-SP.A-CDH;12;393;0;393;0;;2
SUPPLEANT;TAYENNE Véronique;ANDERLECHT;PS-SP.A-CDH;13;362;0;362;0;;3
SUPPLEANT;DEL MARMOL Julien;ANDERLECHT;PS-SP.A-CDH;14;303;0;303;0;;11
SUPPLEANT;GITTENAER Anke;ANDERLECHT;PS-SP.A-CDH;15;284;0;284;0;;13
ELU;BOMELE Nicole Nketo;ANDERLECHT;PS-SP.A-CDH;16;754;0;754;0;15;13
SUPPLEANT;HALLEMANS Patricia;ANDERLECHT;PS-SP.A-CDH;17;452;0;452;0;;6
SUPPLEANT;VAN GIJTE Laetitia;ANDERLECHT;PS-SP.A-CDH;18;207;0;207;0;;24
SUPPLEANT;DE GREEF Robert;ANDERLECHT;PS-SP.A-CDH;19;370;0;370;0;;8
SUPPLEANT;NIEUWINCKEL Henri;ANDERLECHT;PS-SP.A-CDH;20;276;0;276;0;;14
ELU;ES Waut;ANDERLECHT;PS-SP.A-CDH;21;942;0;942;0;10;14
SUPPLEANT;DE GUSSEM Anne-Marie;ANDERLECHT;PS-SP.A-CDH;22;188;0;188;0;;25
SUPPLEANT;VAN HERT BRUGGE Yvette;ANDERLECHT;PS-SP.A-CDH;23;255;0;255;0;;18
ELU;YIGIT Hediye;ANDERLECHT;PS-SP.A-CDH;24;571;0;571;0;21;18
SUPPLEANT;DE BRUYNE Robert;ANDERLECHT;PS-SP.A-CDH;25;356;0;356;0;;9
SUPPLEANT;HAQ Amin;ANDERLECHT;PS-SP.A-CDH;26;547;0;547;0;;4
SUPPLEANT;COMER Bieke;ANDERLECHT;PS-SP.A-CDH;27;264;0;264;0;;17
SUPPLEANT;AREND Martine;ANDERLECHT;PS-SP.A-CDH;28;275;0;275;0;;15
SUPPLEANT;LEGRAND Gabrielle;ANDERLECHT;PS-SP.A-CDH;29;239;0;239;0;;20
ELU;BENNANI Sofia;ANDERLECHT;PS-SP.A-CDH;30;732;0;732;0;16;20
SUPPLEANT;SALM Patrick;ANDERLECHT;PS-SP.A-CDH;31;289;0;289;0;;12
SUPPLEANT;MATHIEU Jean-Pierre;ANDERLECHT;PS-SP.A-CDH;32;267;0;267;0;;16
ELU;KAYA Abdurrahman;ANDERLECHT;PS-SP.A-CDH;33;1252;0;1252;0;7;16
ELU;GHALLADA El-Houssien;ANDERLECHT;PS-SP.A-CDH;34;1003;0;1003;0;8;
ELU;BOUSTANI Abdallah;ANDERLECHT;PS-SP.A-CDH;35;766;0;766;0;14;
SUPPLEANT;PEETERMANS Christiane;ANDERLECHT;PS-SP.A-CDH;36;231;0;231;0;;21
SUPPLEANT;HAERTEN Jean-Marie;ANDERLECHT;PS-SP.A-CDH;37;434;0;434;0;;7
SUPPLEANT;COJOCARU Melania;ANDERLECHT;PS-SP.A-CDH;38;216;0;216;0;;23
SUPPLEANT;JOLLY Fabian;ANDERLECHT;PS-SP.A-CDH;39;324;0;324;0;;10
ELU;AHMIRI Latifa;ANDERLECHT;PS-SP.A-CDH;40;605;0;605;0;19;10
SUPPLEANT;LUNETTA Bernardo;ANDERLECHT;PS-SP.A-CDH;41;241;0;241;0;;19
SUPPLEANT;DE GROODT Jacqueline;ANDERLECHT;PS-SP.A-CDH;42;186;0;186;0;;26
ELU;MOSTEFA Lotfi;ANDERLECHT;PS-SP.A-CDH;43;659;0;659;0;17;26
SUPPLEANT;COCKSHAW Sophie;ANDERLECHT;PS-SP.A-CDH;44;217;0;217;0;;22
SUPPLEANT;VERHULST Jean;ANDERLECHT;PS-SP.A-CDH;45;544;0;544;0;;5
ELU;LAPAGE Léopold;ANDERLECHT;PS-SP.A-CDH;46;597;0;597;0;20;5
ELU;LAANAN Fadila;ANDERLECHT;PS-SP.A-CDH;47;2251;0;2251;0;4;
ELU;AHROUCH Redouane;ANDERLECHT;ISLAM;1;1446;0;1446;0;1;
ELU;GOSUIN Didier;AUDERGHEM;Liste du bourgmestre;1;5427;4292;9719;20928;1;
ELU;DESPINETO Pascale;AUDERGHEM;Liste du bourgmestre;2;664;9055;9719;11873;2;
ELU;COLLARD Bruno;AUDERGHEM;Liste du bourgmestre;3;942;8777;9719;3096;3;
ELU;LEFEBVRE Alain;AUDERGHEM;Liste du bourgmestre;4;1055;3096;4151;0;4;
ELU;COOPMANS Suzanne;AUDERGHEM;Liste du bourgmestre;5;441;0;441;0;16;
ELU;COPPENS Christian;AUDERGHEM;Liste du bourgmestre;6;575;0;575;0;10;
ELU;ARTUS Véronique;AUDERGHEM;Liste du bourgmestre;7;423;0;423;0;19;
ELU;DESIR Isabelle;AUDERGHEM;Liste du bourgmestre;8;424;0;424;0;18;
ELU;MAGDALIJNS Christophe;AUDERGHEM;Liste du bourgmestre;9;447;0;447;0;15;
ELU;DE VOS Sophie;AUDERGHEM;Liste du bourgmestre;10;649;0;649;0;8;
SUPPLEANT;KURAOGLU Suat;AUDERGHEM;Liste du bourgmestre;11;263;0;263;0;;1
ELU;DEFOSSET Eloïse;AUDERGHEM;Liste du bourgmestre;12;986;0;986;0;5;1
SUPPLEANT;MOLDERS Didier;AUDERGHEM;Liste du bourgmestre;13;269;0;269;0;;2
ELU;COPS Valérie;AUDERGHEM;Liste du bourgmestre;14;523;0;523;0;12;2
ELU;VANDAME Marc;AUDERGHEM;Liste du bourgmestre;15;292;0;292;0;23;
ELU;FRAVEZZI - LOCATELLI Jacqueline;AUDERGHEM;Liste du bourgmestre;16;321;0;321;0;22;
ELU;VITOUX Jean-Claude;AUDERGHEM;Liste du bourgmestre;17;419;0;419;0;20;
SUPPLEANT;SOMMER Annick;AUDERGHEM;Liste du bourgmestre;18;267;0;267;0;;3
ELU;HARDY Christophe;AUDERGHEM;Liste du bourgmestre;19;408;0;408;0;21;3
SUPPLEANT;LENOIR Carinne;AUDERGHEM;Liste du bourgmestre;20;266;0;266;0;;5
SUPPLEANT;PERILLEUX Arnaud;AUDERGHEM;Liste du bourgmestre;21;192;0;192;0;;7
ELU;MASSET Nathalie;AUDERGHEM;Liste du bourgmestre;22;426;0;426;0;17;7
SUPPLEANT;LAMBIN Fred;AUDERGHEM;Liste du bourgmestre;23;288;0;288;0;;4
ELU;VENIER Ingrid;AUDERGHEM;Liste du bourgmestre;24;471;0;471;0;13;4
ELU;TOLLET Marc;AUDERGHEM;Liste du bourgmestre;25;585;0;585;0;9;
SUPPLEANT;GOELFF Catherine;AUDERGHEM;Liste du bourgmestre;26;212;0;212;0;;6
SUPPLEANT;AMADOU MOUMOUNI Iliassou;AUDERGHEM;Liste du bourgmestre;27;186;0;186;0;;8
ELU;COULDREY Florence;AUDERGHEM;Liste du bourgmestre;28;462;0;462;0;14;8
ELU;COLOT Michel;AUDERGHEM;Liste du bourgmestre;29;742;0;742;0;7;
ELU;NOEL Bernard;AUDERGHEM;Liste du bourgmestre;30;542;0;542;0;11;
ELU;CRUCIFIX Jeannine;AUDERGHEM;Liste du bourgmestre;31;902;0;902;0;6;
ELU;MOLENBERG Vincent;AUDERGHEM;ECOLO-GROEN;1;318;1463;1781;631;1;
ELU;WILLAME Elise;AUDERGHEM;ECOLO-GROEN;2;341;631;972;0;2;
ELU;GRÉTRY Christian;AUDERGHEM;ECOLO-GROEN;3;235;0;235;0;3;
ELU;BAUWENS Marie-Pierre;AUDERGHEM;ECOLO-GROEN;4;210;0;210;0;4;
SUPPLEANT;DECOURRIÈRE André;AUDERGHEM;ECOLO-GROEN;5;103;0;103;0;;1
SUPPLEANT;VANDENBRANDE Kristel;AUDERGHEM;ECOLO-GROEN;6;181;0;181;0;;2
SUPPLEANT;ZWIJSEN Michel;AUDERGHEM;ECOLO-GROEN;7;78;0;78;0;;19
SUPPLEANT;BAKOUNINE Anastasia;AUDERGHEM;ECOLO-GROEN;8;143;0;143;0;;4
SUPPLEANT;FRANS Bernard;AUDERGHEM;ECOLO-GROEN;9;103;0;103;0;;12
SUPPLEANT;LLANOS  Fiorella;AUDERGHEM;ECOLO-GROEN;10;129;0;129;0;;7
SUPPLEANT;DUBOIS Guy;AUDERGHEM;ECOLO-GROEN;11;79;0;79;0;;18
SUPPLEANT;DURANT Nicole;AUDERGHEM;ECOLO-GROEN;12;126;0;126;0;;8
SUPPLEANT;LEBOVY François;AUDERGHEM;ECOLO-GROEN;13;77;0;77;0;;20
SUPPLEANT;GOEMAERE Martine;AUDERGHEM;ECOLO-GROEN;14;113;0;113;0;;10
SUPPLEANT;STROOBANTS Marc;AUDERGHEM;ECOLO-GROEN;15;80;0;80;0;;17
SUPPLEANT;CALATAYUD CALAMPA Lidia;AUDERGHEM;ECOLO-GROEN;16;152;0;152;0;;3
SUPPLEANT;GROSJEAN Paul;AUDERGHEM;ECOLO-GROEN;17;67;0;67;0;;23
SUPPLEANT;DE SMET Marijntje;AUDERGHEM;ECOLO-GROEN;18;89;0;89;0;;15
SUPPLEANT;DAWANCE Thomas;AUDERGHEM;ECOLO-GROEN;19;81;0;81;0;;16
SUPPLEANT;GOFFARD Julie;AUDERGHEM;ECOLO-GROEN;20;139;0;139;0;;5
SUPPLEANT;BALMET Robert;AUDERGHEM;ECOLO-GROEN;21;55;0;55;0;;26
SUPPLEANT;POCHET Elisabeth;AUDERGHEM;ECOLO-GROEN;22;96;0;96;0;;13
SUPPLEANT;GEERTS Bernard;AUDERGHEM;ECOLO-GROEN;23;56;0;56;0;;25
